Company Name,Industry,Symbol,logo
360 ONE WAM Ltd.,Financial Services,360ONE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542772.png
3M India Ltd.,Diversified,3MINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK523395.png
ABB India Ltd.,Capital Goods,ABB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500002.png
ACC Ltd.,Construction Materials,ACC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500410.png
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532683.png
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533758.png
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540611.png
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524348.png
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524208.png
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541988.png
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500488.png
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539254.png
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK512599.png
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541450.png
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532921.png
Adani Power Ltd.,Power,ADANIPOWER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533096.png
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542066.png
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543458.png
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540691.png
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK535755.png
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500003.png
Aether Industries Ltd.,Chemicals,AETHER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543534.png
Affle (India) Ltd.,Information Technology,AFFLE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542752.png
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532331.png
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533573.png
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539523.png
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506767.png
Allcargo Logistics Ltd.,Services,ALLCARGO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532749.png
Alok Industries Ltd.,Textiles,ALOKINDS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK521070.png
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500008.png
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540902.png
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500425.png
Angel One Ltd.,Financial Services,ANGELONE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543235.png
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543275.png
Apar Industries Ltd.,Capital Goods,APARINDS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532259.png
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK508869.png
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500877.png
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543335.png
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543657.png
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK515030.png
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500477.png
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500820.png
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540975.png
Astral Ltd.,Capital Goods,ASTRAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532830.png
Atul Ltd.,Chemicals,ATUL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531795.png
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524804.png
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK512573.png
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540376.png
Axis Bank Ltd.,Financial Services,AXISBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532215.png
BEML Ltd.,Capital Goods,BEML.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500048.png
BLS International Services Ltd.,Consumer Services,BLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540073.png
BSE Ltd.,Financial Services,BSE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK201890.png
